PREDATOR PREY
Carcharhinus_falciformis Chromis_multilineata
Carcharhinus_falciformis Microspathodon_chrysurus
Carcharhinus_falciformis Stegastes_fuscus
Carcharhinus_falciformis Priacanthus_arenatus
Carcharhinus_falciformis Heteropriacanthus_cruentatus
Carcharhinus_falciformis Scarus_coelestinus
Carcharhinus_falciformis Scarus_iserti
Carcharhinus_falciformis Scarus_guacamaia
Carcharhinus_falciformis Scarus_taeniopterus
Carcharhinus_falciformis Scarus_vetula
Carcharhinus_falciformis Sparisoma_aurofrenatum
Carcharhinus_falciformis Sparisoma_chrysopterum
Carcharhinus_falciformis Sparisoma_radians
Carcharhinus_falciformis Sparisoma_rubripinne
Carcharhinus_falciformis Sparisoma_viride
Carcharhinus_falciformis Equetus_lanceolatus
Carcharhinus_falciformis Equetus_punctatus
Carcharhinus_falciformis Odontoscion_dentex
Carcharhinus_falciformis Pareques_acuminatus
Carcharhinus_falciformis Euthynnus_alletteratus
Carcharhinus_falciformis Scomberomorus_cavalla
Carcharhinus_falciformis Scomberomorus_regalis
Carcharhinus_falciformis Scorpaena_brasiliensis
Carcharhinus_falciformis Scorpaena_grandicornis
Carcharhinus_falciformis Scorpaena_plumieri
Carcharhinus_falciformis Alphestes_afer
Carcharhinus_falciformis Cephalopholis_cruentata
Carcharhinus_falciformis Cephalopholis_fulva
Carcharhinus_falciformis Epinephelus_adscensionis
Carcharhinus_falciformis Epinephelus_guttatus
Carcharhinus_falciformis Epinephelus_itajara
Carcharhinus_falciformis Epinephelus_striatus
Carcharhinus_falciformis Mycteroperca_bonaci
Carcharhinus_falciformis Mycteroperca_tigris
Carcharhinus_falciformis Mycteroperca_venenosa
Carcharhinus_falciformis Paranthias_furcifer
Carcharhinus_falciformis Serranus_tigrinus
Carcharhinus_falciformis Calamus_bajonado
Carcharhinus_falciformis Calamus_calamus
Carcharhinus_falciformis Calamus_pennatula
Carcharhinus_falciformis "Diplodus_argenteus caudimacula"
Carcharhinus_falciformis Sphyraena_barracuda
Carcharhinus_falciformis Sphyraena_borealis
Carcharhinus_falciformis Sphyrna_tiburo
Carcharhinus_falciformis Synodus_foetens
Carcharhinus_falciformis Synodus_intermedius
Carcharhinus_falciformis Synodus_synodus
Carcharhinus_falciformis Mustelus_canis
Carcharhinus_leucas Detritus
Carcharhinus_leucas Shrimps
Carcharhinus_leucas Crabs
Carcharhinus_leucas Echinoids
Carcharhinus_leucas Carcharhinus_acronotus
Carcharhinus_leucas Carcharhinus_limbatus
Carcharhinus_leucas Carcharhinus_perezi
Carcharhinus_leucas Negaprion_brevirostris
Carcharhinus_leucas Rhizoprionodon_porosus
Carcharhinus_leucas Dasyatis_americana
Carcharhinus_leucas Ogcocephalus_nasutus
Carcharhinus_leucas Euthynnus_alletteratus
Carcharhinus_leucas Scomberomorus_cavalla
Carcharhinus_leucas Scomberomorus_regalis
Carcharhinus_leucas Sphyrna_tiburo
Carcharhinus_leucas Mustelus_canis
Carcharhinus_limbatus Squids
Carcharhinus_limbatus Hypoatherina_harringtonensis
Carcharhinus_limbatus Atherinomorus_stipes
Carcharhinus_limbatus Oligoplites_saurus
Carcharhinus_limbatus Harengula_clupeola
Carcharhinus_limbatus Harengula_humeralis
Carcharhinus_limbatus Jenkinsia_lamprotaenia
Carcharhinus_limbatus Opisthonema_oglinum
Carcharhinus_limbatus Dasyatis_americana
Carcharhinus_limbatus Inermia_vittata
